household_ID,member_ID,age,relationship_to_the_head_of_household,gender,ethnicity,religion,marital_status,current_attendance_in_any_education_instituition,highest_level_of_education,main_activity_engaged_in,main_occupation,daily_wage_owner_or_not,employment_status_of_the_main_occupation,no_of_hours_stayed_at_home_during_last_week,member_went_out_for_work_or_not_during_last_week
ID0625,I1,60,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Own account worker,84.0,"Yes, went daily during working days"
ID0625,I2,58,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Clerk,No,Private sector employee,103.0,"Yes, went daily during working days"
ID0625,I3,26,Son/daughter,Female,Sinhala,Buddhism,Never married,Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,120.0,"Yes, went on most of the days"
ID0625,I4,24,Son/daughter,Male,Sinhala,Buddhism,Never married,Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,155.0,"Yes, went on most of the days"
ID0626,I1,46,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Private sector employee,96.0,"Yes, went daily during working days"
ID0626,I2,44,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Own account worker,168.0,"No, worked from home"
ID0626,I3,17,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed G.C.E.(O/L),Student,,,,123.0,
ID0626,I4,16,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed G.C.E.(O/L),Student,,,,123.0,
ID0626,I5,11,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 6,,,,,123.0,
ID0627,I1,52,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Own account worker,70.0,"Yes, went daily during working days"
ID0627,I2,46,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Household activities,,,,168.0,
ID0627,I3,19,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed G.C.E.(O/L),Student,,,,135.0,
ID0627,I4,10,Son/daughter,Male,Sinhala,Buddhism,Never married,Does not attend,No Schooling,,,,,168.0,
ID0628,I1,90,Head of the household,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 8,Too old / Disable/ unable to work,,,,168.0,
ID0628,I2,54,Domestic servant/driver/watcher,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,No Schooling,Engaged in economic activity/ currently employed/ engaged in own business,Skilled agricultural and fishery worker,No,Private sector employee,168.0,"No, worked from home"
ID0629,I1,57,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,0.0,"Yes, went daily during working days"
ID0629,I2,53,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,168.0,
ID0629,I3,23,Boarder,Female,Other,Roman Catholicism,Never married,Other educational institution,Passed Degree / Diploma,Student,,,,85.0,
ID0630,I1,58,Head of the household,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 12,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Own account worker,160.0,"Yes, went daily during working days"
ID0630,I2,68,Wife/Husband,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 12,Too old / Disable/ unable to work,,,,168.0,
ID0630,I3,41,Son/daughter,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed post Graduate Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Government employee,80.0,"Yes, went daily during working days"
ID0630,I4,87,Other relative,Female,Sinhala,Buddhism,Never married,Does not attend,No Schooling,Too old / Disable/ unable to work,,,,168.0,
ID0631,I1,54,Head of the household,Male,Sinhala,Other Christian denominations,Never married,Other educational institution,Passed Degree / Diploma,Retired from the private/semi-government sector and does not obtain any pension payment,,,,165.0,
ID0631,I2,83,Parents of the head of the Household/ spouse,Female,Sinhala,Other Christian denominations,Currently married (registered),Other educational institution,Passed Degree / Diploma,Retired - Obtaining government/semi-government pension payment and currently not engaged in economic activity (not employed elsewhere or not engaged in any own business),,,,165.0,
ID0631,I3,86,Parents of the head of the Household/ spouse,Male,Indian Tamil,Other Christian denominations,Currently married (registered),Other educational institution,Passed Degree / Diploma,Retired from the private/semi-government sector and does not obtain any pension payment,,,,168.0,
ID0632,I1,35,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,Technician and associate professional,No,Employer,122.0,"Yes, went daily during working days"
ID0632,I2,31,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,168.0,
ID0632,I3,1,Son/daughter,Male,Sinhala,Buddhism,Never married,,,,,,,168.0,
ID0632,I4,59,Parents of the head of the Household/ spouse,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Household activities,,,,168.0,
ID0633,I1,37,Son/daughter,Male,Sinhala,Buddhism,Currently married (customary),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Plant and machine operator and assembler,No,Employer,14.0,"No, worked from home"
ID0633,I2,64,Head of the household,Male,Sinhala,Buddhism,Currently married (customary),Does not attend,Passed Grade 6,Engaged in economic activity/ currently employed/ engaged in own business,Plant and machine operator and assembler,No,Employer,10.0,"No, worked from home"
ID0633,I3,60,Parents of the head of the Household/ spouse,Female,Sinhala,Buddhism,Currently married (customary),Does not attend,Passed G.C.E.(O/L),Household activities,,,,24.0,
ID0633,I4,31,Other relative,Male,Sinhala,Buddhism,Never married,Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Plant and machine operator and assembler,No,Employer,11.0,"No, worked from home"
ID0633,I5,31,Wife/Husband,Female,Sinhala,Buddhism,Currently married (customary),Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,22.0,
ID0633,I6,4,Son/daughter,Male,Sinhala,Buddhism,Never married,Preschool,,,,,,19.0,
ID0633,I7,0,Son/daughter,Female,Sinhala,Buddhism,Never married,,,,,,,24.0,
ID0634,I1,61,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,No occupation,Yes,Own account worker,70.0,"Yes, went daily during working days"
ID0634,I2,45,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,No occupation,Yes,Own account worker,70.0,"Yes, went daily during working days"
ID0634,I3,17,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed G.C.E.(O/L),Student,,,,140.0,
ID0634,I4,11,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 5,,,,,133.0,
ID0635,I1,36,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,Plant and machine operator and assembler,Yes,Own account worker,144.0,"Yes, went daily during working days"
ID0635,I2,27,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Household activities,,,,168.0,
ID0635,I3,8,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 3,,,,,165.0,
ID0635,I4,3,Son/daughter,Female,Sinhala,Buddhism,Never married,Does not attend,,,,,,168.0,
ID0636,I1,31,Head of the household,Female,Sinhala,Buddhism,Never married,Does not attend,Passed Grade 12,Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Skilled agricultural and fishery worker,No,Private sector employee,105.0,"Yes, went daily during working days"
ID0636,I2,69,Parents of the head of the Household/ spouse,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 7,Household activities,,,,126.0,
ID0637,I1,68,Head of the household,Male,Sinhala,Buddhism,Currently married (customary),Does not attend,Passed G.C.E.(O/L),Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Service worker and shop and market sales worker,No,Government employee,156.0,"Yes, went on most of the days"
ID0637,I2,61,Wife/Husband,Female,Sinhala,Buddhism,Currently married (customary),Does not attend,Passed G.C.E.(O/L),Household activities,,,,168.0,
ID0637,I3,25,Son/daughter,Female,Sinhala,Buddhism,Never married,Vocational/Technical Institution,Passed G.C.E.(O/L),Student,,,,168.0,
ID0638,I1,81,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 7,Engaged in economic activity/ currently employed/ engaged in own business,Professional,Yes,Private sector employee,168.0,"Yes, went daily during working days"
ID0638,I2,70,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 7,Retired from the private/semi-government sector and does not obtain any pension payment,,,,168.0,
ID0638,I3,40,Son/daughter,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Retired from the private/semi-government sector and does not obtain any pension payment,,,,70.0,
ID0638,I4,41,Son-in-law/Daughter in law,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Household activities,,,,168.0,
ID0638,I5,6,Grandson/ Granddaughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 1,,,,,168.0,
ID0639,I1,64,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 9,Engaged in economic activity/ currently employed/ engaged in own business,Skilled agricultural and fishery worker,No,Own account worker,168.0,"No, worked from home"
ID0639,I2,64,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 9,Household activities,,,,80.0,
ID0639,I3,29,Son/daughter,Male,Sinhala,Buddhism,Never married,Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Private sector employee,140.0,"Yes, went daily during working days"
ID0639,I4,29,Son/daughter,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Student,,,,70.0,
ID0640,I1,52,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Private sector employee,42.0,"Yes, went daily during working days"
ID0640,I2,47,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Household activities,,,,125.0,
ID0640,I3,23,Son/daughter,Male,Sinhala,Buddhism,Never married,Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Private sector employee,0.0,"Yes, went daily during working days"
ID0640,I4,17,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed G.C.E.(O/L),Student,,,,100.0,
ID0641,I1,52,Head of the household,Male,Sinhala,Roman Catholicism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Professional,Yes,Own account worker,96.0,"Yes, went daily during working days"
ID0641,I2,48,Wife/Husband,Female,Sinhala,Roman Catholicism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Household activities,,,,168.0,
ID0641,I3,22,Son/daughter,Male,Sinhala,Roman Catholicism,Never married,Other educational institution,Passed G.C.E.(A/L) or equivalent,Student,,,,84.0,
ID0641,I4,20,Son/daughter,Male,Sinhala,Roman Catholicism,Never married,Other educational institution,Passed G.C.E.(A/L) or equivalent,Student,,,,96.0,
ID0641,I5,7,Son/daughter,Female,Sinhala,Roman Catholicism,Never married,School,Passed Grade 1,,,,,128.0,
ID0642,I1,61,Head of the household,Male,Sinhala,Roman Catholicism,Currently married (customary),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Plant and machine operator and assembler,No,Own account worker,74.0,"Yes, went on most of the days"
ID0642,I2,60,Wife/Husband,Female,Sinhala,Roman Catholicism,Currently married (customary),Does not attend,Passed Grade 10,Household activities,,,,168.0,
ID0642,I3,26,Son/daughter,Male,Sinhala,Roman Catholicism,Never married,Does not attend,Passed G.C.E.(O/L),Other,,,,156.0,
ID0642,I4,20,Son/daughter,Male,Sinhala,Roman Catholicism,Never married,Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,74.0,
ID0643,I1,22,Head of the household,Female,Sinhala,Buddhism,Never married,Does not attend,Passed Grade 12,Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Skilled agricultural and fishery worker,No,Private sector employee,91.0,"Yes, went daily during working days"
ID0643,I2,27,Other relative,Male,Sinhala,Buddhism,Never married,Does not attend,Passed Grade 12,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Own account worker,86.0,"Yes, went daily during working days"
ID0643,I3,53,Parents of the head of the Household/ spouse,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Household activities,,,,168.0,
ID0643,I4,53,Parents of the head of the Household/ spouse,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Own account worker,168.0,"No, worked from home"
ID0644,I1,59,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 9,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Government employee,108.0,"Yes, went daily during working days"
ID0644,I2,53,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Household activities,,,,168.0,
ID0644,I3,78,Parents of the head of the Household/ spouse,Female,Sinhala,Buddhism,Widowed,Does not attend,Passed Grade 6,Household activities,,,,168.0,
ID0644,I4,12,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 6,Student,,,,113.0,
ID0645,I1,42,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Skilled agricultural and fishery worker,No,Employer,165.0,"No, worked from home"
ID0645,I2,35,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),University,Passed post Graduate Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Government employee,165.0,"No, worked from home"
ID0645,I3,14,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 8,Student,,,,160.0,
ID0645,I4,4,Son/daughter,Female,Sinhala,Buddhism,Never married,Preschool,,,,,,160.0,
ID0646,I1,43,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 12,Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Skilled agricultural and fishery worker,No,Private sector employee,95.0,"Yes, went daily during working days"
ID0646,I2,36,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 9,Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Skilled agricultural and fishery worker,No,Private sector employee,0.0,"Yes, went daily during working days"
ID0646,I3,10,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 5,,,,,160.0,
ID0646,I4,7,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 2,,,,,161.0,
ID0646,I5,5,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Studying/Studied Grade 1,,,,,163.0,
ID0646,I6,64,Parents of the head of the Household/ spouse,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 7,Household activities,,,,168.0,
ID0646,I7,95,Parents of the head of the Household/ spouse,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 3,Too old / Disable/ unable to work,,,,168.0,
ID0647,I1,69,Head of the household,Female,Sri Lankan Tamil,Other Christian denominations,Currently married (registered),Does not attend,Passed Grade 2,Household activities,,,,168.0,
ID0648,I1,65,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 8,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,95.0,"Yes, went daily during working days"
ID0648,I2,56,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 6,Household activities,,,,160.0,
ID0648,I3,77,Parents of the head of the Household/ spouse,Female,Sinhala,Buddhism,Widowed,Does not attend,Passed Grade 3,Too old / Disable/ unable to work,,,,160.0,
ID0648,I4,38,Son/daughter,Female,Sinhala,Buddhism,Separated (not legally),Does not attend,Passed Grade 9,Engaged in economic activity/ currently employed/ engaged in own business,Plant and machine operator and assembler,No,Private sector employee,128.0,"Yes, went on most of the days"
ID0648,I5,23,Grandson/ Granddaughter,Female,Sinhala,Buddhism,Never married,Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Plant and machine operator and assembler,No,Private sector employee,104.0,"Yes, went daily during working days"
ID0648,I6,17,Grandson/ Granddaughter,Female,Sinhala,Buddhism,Never married,Vocational/Technical Institution,Passed G.C.E.(O/L),Student,,,,105.0,
ID0649,I1,72,Head of the household,Male,Sinhala,Roman Catholicism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Retired - Obtaining government/semi-government pension payment and currently not engaged in economic activity (not employed elsewhere or not engaged in any own business),,,,168.0,
ID0649,I2,65,Wife/Husband,Female,Burgher,Roman Catholicism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Household activities,,,,168.0,
ID0650,I1,60,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Retired - Obtaining government/semi-government pension payment and currently not engaged in economic activity (not employed elsewhere or not engaged in any own business),,,,168.0,
ID0650,I2,57,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,168.0,
ID0651,I1,46,Head of the household,Male,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,70.0,"Yes, went daily during working days"
ID0651,I2,45,Wife/Husband,Female,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Does not attend,Passed Grade 7,Household activities,,,,168.0,
ID0651,I3,15,Son/daughter,Female,Sri Lankan Moor/Muslim,Islam,Never married,School,Passed Grade 9,Student,,,,140.0,
ID0651,I4,8,Son/daughter,Male,Sri Lankan Moor/Muslim,Islam,Never married,School,Passed Grade 1,,,,,168.0,
ID0652,I1,52,Head of the household,Male,Sri Lankan Tamil,Other Christian denominations,Currently married (customary),Does not attend,Passed Grade 5,Engaged in economic activity/ currently employed/ engaged in own business,Craft and related worker,No,Private sector employee,109.0,"Yes, went on most of the days"
ID0652,I2,47,Wife/Husband,Female,Sri Lankan Tamil,Other Christian denominations,Currently married (customary),Does not attend,Passed Grade 7,Engaged in economic activity/ currently employed/ engaged in own business,Elementary occupation,No,Private sector employee,150.0,"Yes, went on most of the days"
ID0652,I3,21,Son/daughter,Male,Sri Lankan Tamil,Other Christian denominations,Never married,Other educational institution,Passed Grade 12,Student,,,,131.0,
ID0652,I4,14,Son/daughter,Male,Sri Lankan Tamil,Other Christian denominations,Never married,School,Passed Grade 9,Student,,,,133.0,
ID0652,I5,12,Son/daughter,Female,Sri Lankan Tamil,Other Christian denominations,Never married,School,Passed Grade 8,Student,,,,133.0,
ID0653,I1,40,Head of the household,Male,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Private sector employee,140.0,"Yes, went daily during working days"
ID0653,I2,39,Wife/Husband,Female,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,168.0,
ID0653,I3,10,Son/daughter,Male,Sri Lankan Moor/Muslim,Islam,Never married,School,Passed Grade 5,,,,,168.0,
ID0653,I4,9,Son/daughter,Female,Sri Lankan Moor/Muslim,Islam,Never married,School,Passed Grade 4,,,,,168.0,
ID0653,I5,6,Son/daughter,Female,Sri Lankan Moor/Muslim,Islam,Never married,School,Passed Grade 1,,,,,168.0,
ID0653,I6,4,Son/daughter,Male,Sri Lankan Moor/Muslim,Islam,Never married,Still a toddler,,,,,,168.0,
ID0654,I1,53,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,"Legislator, senior official, and manager",No,Private sector employee,117.0,"Yes, went daily during working days"
ID0654,I2,49,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,168.0,
ID0654,I3,20,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed G.C.E.(A/L) or equivalent,Student,,,,168.0,
ID0654,I4,16,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed G.C.E.(O/L),Student,,,,168.0,
ID0654,I5,28,Boarder,Female,Sinhala,Buddhism,Never married,Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Clerk,No,Private sector employee,117.0,"Yes, went daily during working days"
ID0654,I6,88,Boarder,Female,Sinhala,Buddhism,Widowed,Does not attend,Passed Grade 8,Too old / Disable/ unable to work,,,,168.0,
ID0655,I1,63,Head of the household,Female,Sri Lankan Tamil,Roman Catholicism,Widowed,Does not attend,Passed G.C.E.(O/L),Retired from the private/semi-government sector and does not obtain any pension payment,,,,164.0,
ID0655,I2,28,Son/daughter,Female,Sri Lankan Tamil,Roman Catholicism,Never married,Vocational/Technical Institution,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Private sector employee,128.0,"Yes, went on most of the days"
ID0656,I1,57,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 12,Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Service worker and shop and market sales worker,No,Private sector employee,126.0,"Yes, went daily during working days"
ID0656,I2,53,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 12,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Own account worker,166.0,"Yes, went daily during working days"
ID0656,I3,21,Son/daughter,Male,Sinhala,Buddhism,Never married,University,Passed G.C.E.(A/L) or equivalent,Student,,,,168.0,
ID0657,I1,56,Head of the household,Male,Sri Lankan Moor/Muslim,Islam,Widowed,Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Government employee,168.0,"Yes, went daily during working days"
ID0657,I2,25,Son/daughter,Female,Sri Lankan Moor/Muslim,Islam,Never married,School,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Government employee,168.0,"Yes, went daily during working days"
ID0657,I3,19,Son/daughter,Female,Sri Lankan Moor/Muslim,Islam,Never married,School,Passed Grade 12,Student,,,,140.0,
ID0657,I4,16,Son/daughter,Male,Sri Lankan Moor/Muslim,Islam,Never married,School,Passed Grade 10,Student,,,,140.0,
ID0658,I1,39,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Related to forces,No,Government employee,60.0,"Yes, went daily during working days"
ID0658,I2,39,Grandson/ Granddaughter,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,96.0,
ID0658,I3,68,Parents of the head of the Household/ spouse,Male,Sinhala,Buddhism,Separated (not legally),Does not attend,Passed G.C.E.(A/L) or equivalent,Retired from the private/semi-government sector and does not obtain any pension payment,,,,70.0,
ID0658,I4,12,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 6,Student,,,,168.0,
ID0658,I5,2,Son/daughter,Female,Sinhala,Buddhism,Never married,,,,,,,168.0,
ID0659,I1,50,Head of the household,Male,Sinhala,Other Christian denominations,Currently married (registered),Does not attend,Passed Grade 6,Engaged in economic activity/ currently employed/ engaged in own business,Craft and related worker,Yes,Employer,150.0,"Yes, went daily during working days"
ID0659,I2,44,Wife/Husband,Female,Sinhala,Other Christian denominations,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Household activities,,,,150.0,
ID0659,I3,18,Son/daughter,Female,Sinhala,Other Christian denominations,Never married,School,Passed G.C.E.(O/L),Student,,,,140.0,
ID0659,I4,70,Parents of the head of the Household/ spouse,Male,Sinhala,Buddhism,Currently married (customary),Does not attend,Passed Grade 5,Too old / Disable/ unable to work,,,,168.0,
ID0660,I1,64,Head of the household,Female,Sinhala,Buddhism,Widowed,Does not attend,Passed Grade 9,Retired - Obtaining government/semi-government pension payment and currently not engaged in economic activity (not employed elsewhere or not engaged in any own business),,,,84.0,
ID0661,I1,46,Head of the household,Male,Sinhala,Roman Catholicism,Currently married (customary),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Own account worker,63.0,"Yes, went on most of the days"
ID0661,I2,40,Wife/Husband,Female,Sinhala,Roman Catholicism,Currently married (customary),Does not attend,Passed Grade 9,Household activities,,,,168.0,
ID0661,I3,18,Son/daughter,Male,Sinhala,Roman Catholicism,Never married,School,Passed G.C.E.(O/L),Student,,,,123.0,
ID0661,I4,4,Son/daughter,Female,Sinhala,Roman Catholicism,Never married,School,,,,,,168.0,
ID0661,I5,64,Parents of the head of the Household/ spouse,Female,Sinhala,Roman Catholicism,Widowed,Does not attend,Passed Grade 5,Student,,,,168.0,
ID0662,I1,59,Head of the household,Male,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Private sector employee,0.0,"Yes, went daily during working days"
ID0662,I2,60,Wife/Husband,Female,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Government employee,0.0,"Yes, went daily during working days"
ID0662,I3,15,Son/daughter,Male,Sri Lankan Moor/Muslim,Islam,Never married,School,Passed Grade 9,Student,,,,0.0,
ID0662,I4,11,Son/daughter,Male,Sri Lankan Moor/Muslim,Islam,Never married,School,Passed Grade 5,,,,,0.0,
ID0662,I5,6,Son/daughter,Male,Sri Lankan Moor/Muslim,Islam,Never married,School,Passed Grade 3,,,,,0.0,
ID0662,I6,0,Son/daughter,Female,Sri Lankan Moor/Muslim,Islam,Never married,,,,,,,0.0,
