household_ID,no_of_electricity_meters,electricity_provider_csc_area,own_the_house_or_living_on_rent,occupy_renters_boarders,awareness_of_electricity_consumption_of_renters,built_year_of_the_house,type_of_house,floor_which_house_located,no_of_storeys,floor_area,no_of_household_members,charging_method_of_renters_for_electricity,charged_method_for_rent_for_electricity,is_there_business_carried_out_in_the_household,type_of_business,whom_or_how_the_house_was_designed,availability_of_certificate_of_compliance,main_material_used_for_walls_of_the_house,main_material_used_for_roof_of_the_house,any_constructions_or_renovations_in_the_household,highest_level_of_education_of_the_chief_wage_earner,occupation_of_the_chief_wage_earner,socio_economic_class,total_monthly_expenditure_of_last_month,type_of_electricity_meter
ID0176,1,AMBALANGODA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,1200.0,3,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Concrete,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Supervisor grades,SEC B,60000.0,Smart meter
ID0177,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,1600.0,4,,,No,,The house is designed by a certified architect.,Yes,Brick,Concrete,No,Graduate / Post-Grads / Degree level professional qualification,Middle and Senior executive,SEC A,150000.0,Smart meter
ID0178,1,PANADURA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,864.0,4,,,No,,I am not aware of that.,No,Cement Block,Asbestos,No,Schooling up to Grade 6 - 9,Self employed (Professional) - No employees,SEC D,40000.0,Smart meter
ID0179,1,NEGOMBO,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,350.0,5,,,No,,This is a house provided by the government.,Don't know,Brick,Asbestos,No,Schooling up to Grade 6 - 9,Clerk / Salesman grades,SEC D,40000.0,Smart meter
ID0180,1,NEGOMBO,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,375.0,5,,,No,,This is a house provided by the government.,No,Cement Block,Tile,No,Schooling up to Grade 6 - 9,Unskilled Worker,SEC E,40000.0,Smart meter
ID0181,1,NEGOMBO,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,340.0,7,,,Yes,A shop,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",No,Brick,Tile,No,Primary Education,Unskilled Worker,SEC E,80000.0,Smart meter
ID0182,1,KANDANA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,1500.0,4,,,No,,The house is designed by a certified architect.,Yes,Brick,Concrete,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,100000.0,Non smart meter
ID0183,1,BORALASGAMUWA,"Yes, I or a household member owns it.","Renters / boarders who are living in your annexe or any other attached place, maintaining separate living conditions but share the same electricity meter.","I know all the details about the electricity consumption of the renters/ boarders; i.e.; the appliances they use and the number of hours they use each appliance, the times they keep the lights and fans switched on etc.",2000-2009,Single House - Double Floor,,,1800.0,2,You charge an amount for electricity depending on the variance of the bill.,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Junior executive / Executive,SEC A,150000.0,Smart meter
ID0184,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,1000.0,5,,,No,,The house is designed by a certified architect.,Yes,Brick,Concrete,No,Diploma with O/L or A/L (Non graduate),Unskilled Worker,SEC D,70000.0,Non smart meter
ID0185,1,KANDANA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - More than 2 floors,,3.0,1485.0,3,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Manager / Professional,SEC A,150000.0,Smart meter
ID0186,1,KOLONNAWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,450.0,4,,,No,,The house is designed by a certified architect.,Don't know,Brick,Asbestos,Yes,Schooling up to Grade 6 - 9,Small Businessman / Self employed (Non professional),SEC D,35000.0,Non smart meter
ID0187,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Double Floor,,,450.0,4,,,No,,The house is designed by a certified architect.,Don't know,Cement Block,Tile,No,O/L or A/L pending / Passed,Unskilled Worker,SEC D,25000.0,Non smart meter
ID0188,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,1000.0,3,,,No,,I am not aware of that.,Don't know,Cement Block,Concrete,No,O/L or A/L pending / Passed,Supervisor grades,SEC C,60000.0,Non smart meter
ID0189,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,1400.0,4,,,No,,The house is designed by a certified architect.,Don't know,Brick,Concrete,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Small Businessman / Self employed (Non professional),SEC B,200000.0,Smart meter
ID0190,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,200.0,3,,,No,,I am not aware of that.,Don't know,Brick,Tile,No,Schooling up to Grade 6 - 9,Unskilled Worker,SEC E,20000.0,Non smart meter
ID0191,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,2500.0,5,,,No,,The house is designed by a certified architect.,Don't know,Cement Block,Asbestos,No,O/L or A/L pending / Passed,Small Businessman / Self employed (Non professional),SEC C,100000.0,Non smart meter
ID0192,1,NEGOMBO,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Double Floor,,,1000.0,2,,,No,,"The house plan is not done by an architect, nor checked by a certified architect / engineer, the house is designed to barely pass the legal requirements of the local authorities.",Yes,Cement Block,Asbestos,No,Schooling up to Grade 6 - 9,Skilled Worker,SEC D,50000.0,Non smart meter
ID0193,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,1500.0,5,,,No,,The house is designed by a certified architect.,Don't know,Brick,Asbestos,No,Diploma with O/L or A/L (Non graduate),Small Businessman / Self employed (Non professional),SEC C,80000.0,Smart meter
ID0194,3,GALLE,"Yes, I or a household member owns it.","Renters / boarders who are living in your annexe or any other attached place, maintaining separate living conditions but share the same electricity meter.","I know all the details about the electricity consumption of the renters/ boarders; i.e.; the appliances they use and the number of hours they use each appliance, the times they keep the lights and fans switched on etc.",Before 1980,Single House - Double Floor,,,1000.0,3,You charge an amount for electricity depending on the variance of the bill.,,Yes,A shop,The house is designed by a certified architect.,Don't know,Cement Block,Asbestos,No,O/L or A/L pending / Passed,Small Businessman / Self employed (Non professional),SEC C,50000.0,Smart meter
ID0195,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,900.0,3,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Concrete,No,Diploma with O/L or A/L (Non graduate),Supervisor grades,SEC B,75000.0,Non smart meter
ID0196,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,1000.0,5,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Asbestos,No,Diploma with O/L or A/L (Non graduate),Skilled Worker,SEC C,100000.0,Non smart meter
ID0197,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,500.0,6,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",Yes,Cement Block,Tile,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,60000.0,Non smart meter
ID0198,1,KANDANA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,In 2020 or After 2020,Single House - More than 2 floors,,2.0,,3,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Diploma with O/L or A/L (Non graduate),Skilled Worker,SEC C,200000.0,Smart meter
ID0199,1,GALLE,"No, I am living on rent and the rent is paid by me or a household member.",,,2000-2009,Single House - Single Floor,,,2000.0,2,,You pay the full amount of the electricity bill.,No,,I am not aware of that.,Don't know,Brick,Asbestos,No,O/L or A/L pending / Passed,1-9 Employed,SEC B,,Non smart meter
ID0200,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,500.0,2,,,No,,The house is designed by a certified architect.,Yes,Brick,Tile,No,O/L or A/L pending / Passed,Clerk / Salesman grades,SEC C,30000.0,Non smart meter
ID0201,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Double Floor,,,2200.0,4,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Diploma with O/L or A/L (Non graduate),Manager / Professional,SEC A,80000.0,Non smart meter
ID0202,1,DALUGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,650.0,2,,,No,,I am not aware of that.,Don't know,Cement Block,Asbestos,No,Schooling up to Grade 6 - 9,Unskilled Worker,SEC E,30000.0,Smart meter
ID0203,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,In 2020 or After 2020,Single House - Double Floor,,,1200.0,5,,,No,,The house is designed by a certified architect.,No,Cement Block,Plastic sheets,No,O/L or A/L pending / Passed,1-9 Employed,SEC B,200000.0,Smart meter
ID0204,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,800.0,4,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",No,Brick,Asbestos,No,O/L or A/L pending / Passed,Small Businessman / Self employed (Non professional),SEC C,35000.0,Non smart meter
ID0205,2,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,1100.0,3,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Concrete,No,O/L or A/L pending / Passed,Junior executive / Executive,SEC B,60000.0,Smart meter
ID0206,2,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,900.0,6,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Tile,No,O/L or A/L pending / Passed,Clerk / Salesman grades,SEC C,70000.0,Non smart meter
ID0207,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,1500.0,4,,,No,,The house is designed by a certified architect.,No,Brick,Asbestos,No,O/L or A/L pending / Passed,Manager / Professional,SEC B,150000.0,Non smart meter
ID0208,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,800.0,2,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Asbestos,No,Schooling up to Grade 6 - 9,Clerk / Salesman grades,SEC D,100000.0,Non smart meter
ID0209,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,620.0,2,,,Yes,A shop,The house is designed by a certified architect.,Yes,Cement Block,Asbestos,No,Diploma with O/L or A/L (Non graduate),Boutique owner,SEC B,60000.0,Non smart meter
ID0210,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,In 2020 or After 2020,Single House - Single Floor,,,1200.0,4,,,No,,The house is designed by a certified architect.,Yes,Brick,Concrete,No,Diploma with O/L or A/L (Non graduate),Junior executive / Executive,SEC B,200000.0,Smart meter
ID0211,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,1800.0,5,,,No,,The house is designed by a certified architect.,No,I am not aware of that,Tile,No,O/L or A/L pending / Passed,Manager / Professional,SEC B,75000.0,Non smart meter
ID0212,1,AMBALANGODA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,2400.0,1,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Asbestos,Yes,Schooling up to Grade 6 - 9,Skilled Worker,SEC D,30000.0,Smart meter
ID0213,1,AMBALANGODA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,2400.0,2,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Concrete,No,O/L or A/L pending / Passed,Unskilled Worker,SEC D,100000.0,Smart meter
ID0214,1,AMBALANGODA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,1200.0,2,,,No,,The house is designed by a certified architect.,No,Cement Block,Asbestos,No,Schooling up to Grade 6 - 9,Small Businessman / Self employed (Non professional),SEC D,30000.0,Non smart meter
ID0215,1,AMBALANGODA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,2000.0,2,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Asbestos,No,O/L or A/L pending / Passed,Small Businessman / Self employed (Non professional),SEC C,65000.0,Non smart meter
ID0216,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,1000.0,5,,,No,,I am not aware of that.,Don't know,Brick,Tile,No,O/L or A/L pending / Passed,Manager / Professional,SEC B,50000.0,Non smart meter
ID0217,1,BORALASGAMUWA,"No, I am living on rent and the rent is paid by me or a household member.",,,2000-2009,Single House - Double Floor,,,1200.0,3,,You pay the full amount of the electricity bill.,No,,The house is designed by a certified architect.,Yes,Cement Block,Asbestos,No,Diploma with O/L or A/L (Non graduate),Junior executive / Executive,SEC B,100000.0,Non smart meter
ID0218,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,800.0,2,,,No,,This is a house provided by the government.,No,Brick,Asbestos,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,30000.0,Non smart meter
ID0219,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,1400.0,3,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Asbestos,No,Diploma with O/L or A/L (Non graduate),Skilled Worker,SEC C,50000.0,Non smart meter
ID0220,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Double Floor,,,1500.0,2,,,No,,The house is designed by a certified architect.,Yes,Brick,Tile,No,O/L or A/L pending / Passed,Clerk / Salesman grades,SEC C,50000.0,Smart meter
ID0221,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,960.0,6,,,No,,The house is designed by a certified architect.,Don't know,Cement Block,Concrete,No,Diploma with O/L or A/L (Non graduate),Manager / Professional,SEC A,80000.0,Smart meter
ID0222,1,MORATUWA SOUTH,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Double Floor,,,2700.0,5,,You pay the full amount of the electricity bill.,No,,I am not aware of that.,Don't know,I am not aware of that,Concrete,No,Diploma with O/L or A/L (Non graduate),Middle and Senior executive,SEC A,200000.0,Smart meter
ID0223,1,MAHARAGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Double Floor,,,1400.0,4,,,No,,The house is designed by a certified architect.,Yes,Cabook,Concrete,No,Diploma with O/L or A/L (Non graduate),Skilled Worker,SEC C,35000.0,Non smart meter
ID0224,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,In 2020 or After 2020,Single House - Single Floor,,,400.0,2,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",Don't know,Cement Block,Asbestos,No,O/L or A/L pending / Passed,Unskilled Worker,SEC D,15000.0,Non smart meter
ID0225,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,1600.0,4,,,No,,I am not aware of that.,No,Cement Block,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Clerk / Salesman grades,SEC B,70000.0,Smart meter
ID0226,2,MAHARAGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,800.0,4,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Manager / Professional,SEC A,100000.0,Smart meter
ID0227,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,750.0,2,,,No,,I am not aware of that.,Don't know,Cabook,Asbestos,No,Diploma with O/L or A/L (Non graduate),Junior executive / Executive,SEC B,30000.0,Smart meter
ID0228,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,1400.0,1,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Asbestos,No,Diploma with O/L or A/L (Non graduate),Unskilled Worker,SEC D,50000.0,Smart meter
ID0229,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,1000.0,4,,,No,,The house is designed by a certified architect.,No,Cement Block,Concrete,No,O/L or A/L pending / Passed,1-9 Employed,SEC B,50000.0,Non smart meter
ID0230,1,KANDANA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,1350.0,2,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,30000.0,Non smart meter
ID0231,1,MORATUWA SOUTH,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Single Floor,,,800.0,3,,You pay the full amount of the electricity bill.,No,,I am not aware of that.,Don't know,I am not aware of that,Asbestos,No,Diploma with O/L or A/L (Non graduate),Skilled Worker,SEC C,50000.0,Smart meter
ID0232,2,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,2400.0,3,,,Yes,Other,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",Yes,Cement Block,Concrete,No,O/L or A/L pending / Passed,Small Businessman / Self employed (Non professional),SEC C,30000.0,Smart meter
ID0233,1,PITA-KOTTE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,620.0,5,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Concrete,No,O/L or A/L pending / Passed,Junior executive / Executive,SEC B,30000.0,Smart meter
ID0234,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,1800.0,2,,,No,,The house plan was not done by an architect but checked by a certified architect or engineer.,No,Brick,Asbestos,Yes,Graduate / Post-Grads / Degree level professional qualification,Junior executive / Executive,SEC A,230000.0,Smart meter
ID0235,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,2000.0,3,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Middle and Senior executive,SEC A,75000.0,Non smart meter
ID0236,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,900.0,3,,,No,,I am not aware of that.,No,Cement Block,Asbestos,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,45000.0,Non smart meter
ID0237,1,MAHARAGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,1100.0,4,,,No,,"The house plan is not done by an architect, nor checked by a certified architect / engineer, the house is designed to barely pass the legal requirements of the local authorities.",Yes,Cement Block,Asbestos,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Middle and Senior executive,SEC A,80000.0,Non smart meter
ID0238,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,450.0,4,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",Yes,Brick,Asbestos,No,Schooling up to Grade 6 - 9,Skilled Worker,SEC D,70000.0,Smart meter
ID0239,1,MORATUWA SOUTH,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Attached house / Annex,,2.0,500.0,6,,You pay the full amount of the electricity bill.,No,,I am not aware of that.,Don't know,Cabook,Tile,No,O/L or A/L pending / Passed,Self employed (Professional) - No employees,SEC B,45000.0,Smart meter
ID0240,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,800.0,5,,,No,,The house is designed by a certified architect.,No,Cement Block,Concrete,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,90000.0,Non smart meter
ID0241,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,800.0,4,,,No,,I am not aware of that.,Yes,Cement Block,Asbestos,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,60000.0,Non smart meter
ID0242,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,600.0,6,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Concrete,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,50000.0,Non smart meter
ID0243,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,400.0,5,,,No,,This is a house provided by the government.,Yes,Cement Block,Asbestos,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,50000.0,Non smart meter
ID0244,2,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,600.0,4,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Asbestos,No,O/L or A/L pending / Passed,Clerk / Salesman grades,SEC C,45000.0,Non smart meter
ID0245,1,KANDANA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,1661.0,4,,,No,,The house is designed by a certified architect.,Yes,Brick,Tile,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,75000.0,Non smart meter
ID0246,1,MAHARAGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Double Floor,,,3960.0,5,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Middle and Senior executive,SEC A,40000.0,Smart meter
ID0247,1,NEGOMBO,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,1200.0,5,,,No,,The house is designed by a certified architect.,Yes,Brick,Concrete,No,Diploma with O/L or A/L (Non graduate),1-9 Employed,SEC A,60000.0,Smart meter
ID0248,1,MAHARAGAMA,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Single Floor,,,3000.0,4,,You pay the full amount of the electricity bill.,No,,The house is designed by a certified architect.,Yes,Cement Block,Asbestos,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Junior executive / Executive,SEC A,,Non smart meter
ID0249,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,1200.0,4,,,No,,The house is designed by a certified architect.,Yes,Brick,Concrete,No,O/L or A/L pending / Passed,Boutique owner,SEC B,10000.0,Non smart meter
ID0250,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,1600.0,3,,,No,,The house is designed by a certified architect.,Don't know,Brick,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Junior executive / Executive,SEC A,150000.0,Smart meter
ID0251,1,MORATUWA SOUTH,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Double Floor,,,1200.0,4,,You pay the full amount of the electricity bill.,No,,I am not aware of that.,Don't know,I am not aware of that,Concrete,No,O/L or A/L pending / Passed,Junior executive / Executive,SEC B,50000.0,Smart meter
ID0252,1,MORATUWA SOUTH,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Attached house / Annex,,1.0,500.0,2,,You pay the full amount of the electricity bill.,No,,I am not aware of that.,Don't know,I am not aware of that,Concrete,No,Graduate / Post-Grads / Degree level professional qualification,Middle and Senior executive,SEC A,80000.0,Smart meter
ID0253,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Twin houses,,1.0,500.0,4,,,No,,This is a house provided by the government.,Don't know,Cement Block,Tile,No,O/L or A/L pending / Passed,Clerk / Salesman grades,SEC C,50000.0,Non smart meter
ID0254,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Double Floor,,,2500.0,3,,,No,,The house is designed by a certified architect.,Yes,Brick,Concrete,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Junior executive / Executive,SEC A,50000.0,Smart meter
ID0255,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - More than 2 floors,,1.0,3000.0,7,,,Yes,Other,The house is designed by a certified architect.,Yes,Cement Block,Tile,No,Diploma with O/L or A/L (Non graduate),Supervisor grades,SEC B,35000.0,Non smart meter
ID0256,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,100.0,4,,,Yes,Other,I am not aware of that.,Yes,Brick,Tile,No,Diploma with O/L or A/L (Non graduate),Skilled Worker,SEC C,15000.0,Smart meter
ID0257,1,BORALASGAMUWA,"No, I am living on rent and the rent is paid by me or a household member.",,,2000-2009,Flat,1.0,1.0,1600.0,3,,You pay the full amount of the electricity bill.,No,,The house is designed by a certified architect.,Yes,Brick,Concrete,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Self employed (Professional) - No employees,SEC A,150000.0,Non smart meter
ID0258,1,JA-ELA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,1485.0,5,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Junior executive / Executive,SEC A,100000.0,Smart meter
ID0259,1,HIKKADUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,800.0,3,,,No,,I am not aware of that.,Don't know,Stones/Cube stones,Tile,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Unskilled Worker,SEC D,40000.0,Non smart meter
ID0260,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Double Floor,,,3000.0,2,,,No,,The house is designed by a certified architect.,No,Cement Block,Concrete,Yes,Graduate / Post-Grads / Degree level professional qualification,Skilled Worker,SEC B,40000.0,Smart meter
ID0261,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - More than 2 floors,,2.0,650.0,4,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Concrete,No,O/L or A/L pending / Passed,Clerk / Salesman grades,SEC C,65000.0,Smart meter
ID0262,1,HIKKADUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,450.0,3,,,No,,"The house plan is not done by an architect, nor checked by a certified architect / engineer, the house is designed to barely pass the legal requirements of the local authorities.",Don't know,Stones/Cube stones,Tile,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Unskilled Worker,SEC D,15000.0,Non smart meter
